num_neuronas,exec_time,RMSE_train,RMSE_test,r^2_train,r^2_test
1,40.4264,115.68400000000001,116.0432,-5.1634,-5.030800000000001
2,42.227999999999994,22.0894,22.4272,0.8865999999999999,0.8859999999999999
3,41.3264,19.217,19.8754,0.9138,0.9098
4,42.773199999999996,20.7476,21.2788,0.8994,0.897
5,42.766400000000004,19.2352,19.926599999999997,0.9136,0.9099999999999999
6,42.1522,20.229599999999998,20.837399999999995,0.9042,0.9010000000000001
7,42.517999999999994,21.075200000000002,21.579,0.8964000000000001,0.8942
8,42.9522,20.3916,20.8826,0.9028,0.9008
9,42.474199999999996,18.858,19.5556,0.9172,0.9134
10,43.501599999999996,18.4948,19.2332,0.9204000000000001,0.9158000000000002
